District,Activity,Type,Picture,Picture Link,Cost,Route,,,,Route Notes,Latitude,Longitute,Link,Description
Venice,Legal Graffiti Wall,Chill,graf.jpg,"photo credit: <a href=""https://www.flickr.com/photos/phunk/6370683/"">funkandjazz</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,1,,,,,33.98604,-118.473898,http://www.veniceartwalls.com/,These walls are constantly changing as different artists come and paint their pieces
Venice,Muscle Beach,Chill,muscle.jpg,"photo credit: <a href=""https://www.flickr.com/photos/koonce/5058168530/"">Josh Koonce</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,1,,,,,33.985404,-118.472651,http://www.musclebeach.net/,Famous for the outdoor workout equipment
Venice,Skate Park,Activity,skate.jpg,"photo credit: <a href=""https://www.flickr.com/photos/chrisgold/7916220868/"">ChrisGoldNY</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",0,1,,,,,33.987037,-118.475396,http://veniceskatepark.com/,Always full of skaters doing crazy tricks in the bowls and ramps and such
Venice,Street performances,Activity,perform.jpg,"photo credit: <a href=""https://www.flickr.com/photos/thomashawk/9752634244/"">Thomas Hawk</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",0,1,,,,,33.986099,-118.473422,http://venice311.org/venice-boardwalk/how-to-be-a-boardwalk-vendor-artist-performer/,"Acrobatics, magic, dancing, and more"
Venice,Wurstkuche,Food/Drink,wur.png,phone,$$,1,3,,,,33.999746,-118.46496,http://www.wurstkuche.com/,Known for their unique sausages with rabbit/rattlesnake/alligator and other meats. Huge variety of German/Belgian beers as well.
Venice,Canals,Chill,venice_canals.jpg,,0,1,,,,,33.984539,-118.468442,http://www.yelp.com/biz/venice-canals-venice-2,Good for evening strolls over bridges to pass over canals. 
Venice,Mosaic Tile House,Chill,mosaic.jpg,"photo credit: <a href=""https://www.flickr.com/photos/ianturk/269158649/"">Turkinator</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,1,3,,,,34.00006,-118.456899,http://www.cheripann.com/Contact_Us.html,
,,,,,,,,,,,,,,
Pacific Palisades/Topanga,Abandoned Nazi Compound,Explore,nazi.jpg,"photo credit: <a href=""https://www.flickr.com/photos/83150351@N04/11259385704/"">Kamil Dziedzina Photos</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,2/302,,,,,34.072275,-118.51388,http://www.hikespeak.com/trails/rustic-canyon-murphy-ranch-nazi-ruins/,Abandoned compound which was built as a Nazi base- now decaying and covered in every changing graffiti art
Pacific Palisades/Topanga,Getty Museum ,Chill,getty.png,phone,0,761,,,,,34.077431,-118.474459,http://www.getty.edu/museum/,"Free entry ($10 parking), view of LA, great if you're into paintings and art, has a garden you can walk through"
Pacific Palisades/Topanga,Temescal Canyon,Explore,temescal.jpg,"photo credit: <a href=""https://www.flickr.com/photos/ilmungo/103858801/"">ilmungo</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,2/302,,,,,34.059195,-118.532911,http://www.laparks.org/dos/parks/facility/temescalCynPk.htm,"Not too easy, not too tough of a hike. Clear view of LA from the top. ~4 miles"
Pacific Palisades/Topanga,Self Realization Fellowship Lake Shrine,Chill,shrine.jpg,"photo credit: <a href=""https://www.flickr.com/photos/91173606@N00/5777335827/"">CAHairyBear</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,2/302,,,,,34.042547,-118.552451,http://www.lakeshrine.org/,Zen out
Pacific Palisades/Topanga,Muholland Drive,Activity,mdrive.jpg,"photo credit: <a href=""https://www.flickr.com/photos/amazelin/6103647102/"">""Andr_ M.""</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,Drive,,,,,34.131093,-118.49047,http://en.wikipedia.org/wiki/Mulholland_Drive,Drive through twists and curves on this scenic route in the mountains
Pacific Palisades/Topanga,Inspiration Point,Explore,i_point.jpg,"photo credit: <a href=""https://www.flickr.com/photos/michelemarkelconnors/3994018606/"">MarkelConnors</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",0,2/302,,,,,34.059538,-118.513835,http://www.hikespeak.com/trails/inspiration-point-hike-will-rogers/,Easy hike with another great view of LA at the top ~2.25 miles
,,,,,,,,,,,,,,
Sawtelle,Restaurants by Sawtelle/Olympic,Food/Drink,sawtelleolympic.png,,$$,1,6,,,,34.038944,-118.442526,http://la.eater.com/archives/2013/08/07/a_comprehensive_guide_to_dining_on_sawtelle.php,"Food everywhere- Ramen- Shinengumi (customizable ramen with different noodle textures and $0.97  noodle refills), Daikokuya (famous for being good), Tonkotsu (Tsukemen ramen, two stores with different broths), Tsujita (order ramen off the iPads) ; Boba/Sweet- Coco's, Volcano Milk Tea, Blockheads (fine shaved ice), Brian's Shaved Ice (Hawaiian shaved ice) ; Curry- Curry house, Hurry Curry ; Sushi Stop- Budget, decent sushi"
Sawtelle,Plan Check,Food/Drink,plancheck.jpg,"photo credit: <a href=""https://www.flickr.com/photos/calamity_hane/6882291194/"">calamity_hane</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$$,1,,,,,34.043887,-118.446092,http://plancheck.com/,Possibly the best burgers in the LA area
Sawtelle,Churros Calientes,Food/Drink,churros_calientes.png,,$,1,,,,,34.045405,-118.452672,http://www.churroscalientes.com/,Curros cravings
Sawtelle,Rocky Horror Picture Show,Activity,rocky.jpg,,$,Drive,,,,,34.046279,-118.448079,http://www.rockyhorror.com/,"Interesting subculture- audience participation, lots of vularity, and live acting along with the movie. Every Saturday night at midnight at Nuart Theater"
,,,,,,,,,,,,,,
Dockweiller ,Bonfires,Activity,dbon.jpg,"photo credit: <a href=""https://www.flickr.com/photos/martiancrocodile/2193594795/"">Missus Martian</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,Drive,,,,,33.942135,-118.442614,http://www.yelp.com/biz/dockweiler-beach-playa-del-rey,Closest legal place to host bonfires. Heads up your feet will be black after walking in the sand as it's right by LAX
,,,,,,,,,,,,,,
Malibu,Getty Villa,Chill,villa.jpg,"photo credit: <a href=""https://www.flickr.com/photos/mharrsch/13985411449/"">mharrsch</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,2/302,,,,,34.045833,-118.565033,http://www.getty.edu/visit/villa/,"RSVP for free entry, giant blue pool, statues and art from way back when"
Malibu,Malibu Creek Cliff Jumping,Explore,mcreek.jpg,"photo credit: <a href=""https://www.flickr.com/photos/public-waste/6930359929/"">www.Public-Waste.com</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,Drive,,,,,34.104962,-118.731562,http://www.hikespeak.com/trails/malibu-creek-gorge-rock-pool/,"Popular cliff jumping spot, 3 different levels to jump from"
Malibu,Malibu Rindge Dam Cliff Jumping,Explore,jump.jpg,"photo credit: <a href=""https://www.flickr.com/photos/prawnpie/5088447248/"">prawnpie</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,Drive,,,,,34.064552,-118.699186,http://www.yelp.com/biz/malibu-canyon-malibu,Jumps off of different levels in this dam
Malibu,Malibu Pier,Chill,mpier.jpg,"photo credit: <a href=""https://www.flickr.com/photos/wwarby/9641324160/"">wwarby</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",0,534,,,,534 extension for all,34.03714,-118.676588,http://www.yelp.com/biz/malibu-pier-malibu,Relax along the pier and beach. Fancy houses along the sides of the road
Malibu,Solstice Canyon,Explore,scanyon.jpg,"photo credit: <a href=""https://www.flickr.com/photos/rockmixer/5081093683/"">rockmixer</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nd/2.0/"">cc</a>",0,534,,,,534 extension for all,34.04828,-118.75781,http://www.hikespeak.com/trails/solstice-canyon/,"Solstice Canyon- Waterfall at the end, abandoned manor at the side"
Malibu,Point Dume,Explore,pd.jpg,"photo credit: <a href=""https://www.flickr.com/photos/grandoakphotos/6937243777/"">Allan Bromberg_Grand Oak Photography</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",0,534,,,,534 extension for all,34.000844,-118.806522,http://www.yelp.com/biz/point-dume-state-beach-malibu,Point Dume Point
Malibu,Escondido Canyon Waterfall,Explore,ecanyon.jpg,"photo credit: <a href=""https://www.flickr.com/photos/47266767@N00/4545190526/"">savemejebus</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",0,534,,,,534 extension for all,34.043019,-118.779845,http://www.yelp.com/biz/escondido-falls-malibu-2,Escondido Canyon Waterfall
Malibu,Zuma Beach,Chill,zuma.jpg,"photo credit: <a href=""https://www.flickr.com/photos/rawmeyn/2485801170/"">Roman K_nigshofer</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nd/2.0/"">cc</a>",0,534,,,,534 extension for all,34.015573,-118.821368,http://www.welikela.com/ultimate-guide-malibu-beaches/,Well known beach in Malibu
,,,,,,,,,,,,,,
Marina del Ray,Parasailing,Activity,para.jpg,"photo credit: <a href=""https://www.flickr.com/photos/justin_li/6663973815/"">Justin.li</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,3,,,,,33.973066,-118.446424,http://www.marinadelreyparasailing.com/,Get it with a groupon
Marina del Ray,Kayaking,Activity,kayak.jpg,"photo credit: <a href=""https://www.flickr.com/photos/freewine/3152970736/"">FreeWine</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",0,3,,,,,33.981872,-118.441249,http://marinaaquaticcenter.org/,Single or tandem kayaking in the Marina. Free if you call in and RSVP as UCLA students
,,,,,,,,,,,,,,
Korea Town,Boba Bear,Food/Drink,bb.jpg,"photo credit: <a href=""https://www.flickr.com/photos/tehbizz/4364848598/"">tehbizz</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-nd/2.0/"">cc</a>",$,720,20,,,,34.066715,-118.308915,http://www.bobabear.com/,Boba and hookah. That is all.
Korea Town,Korean Market/Mall,Activity,k_mall.jpg,"photo credit: <a href=""https://www.flickr.com/photos/rocketboom/5734994484/"">Parker Knight</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-sa/2.0/"">cc</a>",$$,720,20,,,,34.052306,-118.308742,http://www.yelp.com/search?find_desc=market&find_loc=Koreatown%2C+Los+Angeles%2C+CA&ns=1&ls=2ab0e88e6cdcae3f,"Multiple throughout Ktown- kpop stores and markets with pear juice, redbean/icecream fish desserts, kimichi, etc. Location is Galleria, others include Zion and Ktown Plaza"
Korea Town,Karaoke,Activity,karaoke.jpg,"photo credit: <a href=""https://www.flickr.com/photos/abrinsky/8604749569/"">abrinsky</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$$,720,20,,,,34.063589,-118.300566,http://www.yelp.com/search?find_desc=Karaoke&find_loc=Koreatown%2C+Los+Angeles%2C+CA&ns=1,Singing and drinks; Multiple throughout Ktown- location is Young Dong Nohrenbang
Korea Town,KyoChon,Food/Drink,kyochon.jpg,"photo credit: <a href=""https://www.flickr.com/photos/arndog/1427274756/"">arnold | inuyaki</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",$$,720,20,,,,34.063799,-118.306449,http://www.yelp.com/biz/kyochon-los-angeles-3,Korean fried chicken 
Korea Town,Tom n Toms,Food/Drink,tomntom.jpg,"photo credit: <a href=""https://www.flickr.com/photos/hercwad/9125036854/"">LA Wad</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,720,20,,,,34.062555,-118.309876,http://en.tomntoms.com/,The Korean Starbucks
Korea Town,Korobokur,Food/Drink,k_tea.png,,$$,720,20,,,,34.057618,-118.306015,http://www.yelp.com/biz/cafe-korobokgur-los-angeles,"Tea house- hip atmosphere with Miyazaki music, cutesy waitresses, and unique tea dispensers"
Korea Town,Hwa sun ji,Food/Drink,hwasunji.jpg,"photo credit: <a href=""https://www.flickr.com/photos/16210667@N02/8971280814/"">CJS*64</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nd/2.0/"">cc</a>",$,720,20,,,,34.06127,-118.313266,http://www.thelatravelguide.com/hwa-sun-ji-the-korean-tea-palace/,Tea house- traditional vibe
Korea Town,Blipsy Barcade,Activity,blipsy.jpg,"photo credit: <a href=""https://www.flickr.com/photos/bitchcakes/14359950062/"">*Bitch Cakes*</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc/2.0/"">cc</a>",$,720,20,,,,34.077873,-118.309344,http://www.laweekly.com/squidink/2012/06/26/koreatown-bar-report-blipsy-barcade,Drinks and arcade games go hand in hand
Korea Town,KBBQ,Food/Drink,kbbq.jpg,"photo credit: <a href=""https://www.flickr.com/photos/isaachsieh/3320217131/"">ZakVTA</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,720,20,,,,34.057337,-118.302217,http://www.yelp.com/search?find_desc=korean+bbq&find_loc=Koreatown%2C+Los+Angeles%2C+CA&ns=1,"Must for UCLA students. All you can eat ranging from $10 to $20+; favorite low price: Castle II, Bud Namu; and high price: Hae Jang Chon, Road to Seoul (location is budnamu)"
,,,,,,,,,,,,,,
Little Tokyo,"Ramen (daikokiya, shinsengumi, menoh)",Food/Drink,little_tokyo_ramen.png,,$$,720,2/302,,,720 ( to commerce center or downtown); 2/302 (to downtown),34.04996,-118.240032,http://www.yelp.com/search?find_desc=ramen&find_loc=Little+Tokyo%2C+Los+Angeles%2C+CA&ns=1&ls=69fd4ecd365d7ad1,"Daikokiya (hour long waits are the norm), ShinSenGumi (customizable with $0.97 noodle refills), MenOh (classic ramen). Location is Daikokiya"
Little Tokyo,Hama Sushi,Food/Drink,hama.jpg,"photo credit: <a href=""https://www.flickr.com/photos/phuson/2865007352/"">Phu Son</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by/2.0/"">cc</a>",$$,720,2/302,,,720 ( to commerce center or downtown); 2/302 (to downtown),34.048556,-118.240413,http://hamasushila.com/,"Traditional sushi, one of the best in LA. You get what you pay for, with with an average order of sashimi or sushi costing $5-7"
Little Tokyo,Mall,Chill,mall.jpg,"photo credit: <a href=""https://www.flickr.com/photos/rosslarocco/161091987/"">Ross LaRocco</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",0,720,2/302,,,720 ( to commerce center or downtown); 2/302 (to downtown),34.048576,-118.240074,,"Has a mini arcade, pika-pika photobooth, hype clothing brand stores, bakeries, and restaurants"
Little Tokyo,O-Zero,Food/Drink,o_zero.png,phone,$,720,2/302,,,720 ( to commerce center or downtown); 2/302 (to downtown),34.04832,-118.239505,http://www.yelp.com/biz/ozero-tea-and-desserts-los-angeles,Milk tea * 720 towards Commerce Center
Little Tokyo,Japanese American National Museum ,Chill,janm.jpg,"photo credit: <a href=""https://www.flickr.com/photos/34186459@N00/7779221984/"">--Mark--</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,720,2/302,,,720 ( to commerce center or downtown); 2/302 (to downtown),34.049393,-118.238852,http://www.janm.org/,"Japanese American culture- free every Thurs 5-8, every third Tues"
Little Tokyo,Manga & Anime store,Chill,manga.jpg,"photo credit: <a href=""https://www.flickr.com/photos/david-perez/4827387563/"">davidpc_</a> via <a href=""http://photopin.com"">photopin</a> <a href=""http://creativecommons.org/licenses/by-nc-sa/2.0/"">cc</a>",$,720,2/302,,,720 ( to commerce center or downtown); 2/302 (to downtown),34.049384,-118.240705,http://www.animejungle.net/user/scripts/user/category.php,All your childhood animes and mangas
